time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T14:02:14.549900,2014-02-24T14:02:23.740000,4,"BAM,CPM,MLM,SAM",5,0.9999997019767761
2014-02-24T14:02:44.779900,2014-02-24T14:02:46.249900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:02:53.459900,2014-02-24T14:03:02.510000,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T14:03:08.899900,2014-02-24T14:03:18.320000,5,"BAM,CPM,IA2,LAM,MLM",6,0.9999999403953552
2014-02-24T14:03:22.249900,2014-02-24T14:03:26.479900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:04:05.589900,2014-02-24T14:04:11.919900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:04:32.130000,2014-02-24T14:04:36.859900,4,"BAM,CPM,LAM,MLM",4,1.0
2014-02-24T14:04:42.339900,2014-02-24T14:04:50.139900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:04:57.939900,2014-02-24T14:05:06.910000,4,"BAM,CPM,IA2,MLM",5,0.9999999403953552
2014-02-24T14:05:24.879900,2014-02-24T14:05:31.679900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:05:44.609900,2014-02-24T14:05:52.269900,4,"BAM,CPM,LAM,MLM",5,0.9999999403953552
2014-02-24T14:05:59.429900,2014-02-24T14:06:07.949900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T14:06:39.049900,2014-02-24T14:06:46.849900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:06:50.860000,2014-02-24T14:06:55.790000,5,"BAM,CPM,IA2,LAM,MLM",5,1.0
2014-02-24T14:07:17.869900,2014-02-24T14:07:25.679900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:07:41.299900,2014-02-24T14:07:50.869900,4,"BAM,CPM,IA2,MLM",5,0.9999998211860657
2014-02-24T14:08:03.889900,2014-02-24T14:08:12.399900,4,"BAM,CPM,GBM,MLM",5,0.9999998807907104
2014-02-24T14:08:27.929900,2014-02-24T14:08:35.769900,4,"BAM,CPM,LAM,MLM",5,0.9999995231628418
2014-02-24T14:08:43.409900,2014-02-24T14:08:51.379900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T14:09:22.439900,2014-02-24T14:09:30.209900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T14:09:32.760000,2014-02-24T14:09:42.009900,4,"BAM,CPM,LAM,MLM",4,1.0
2014-02-24T14:09:53.509900,2014-02-24T14:10:02.739900,4,"BAM,CPM,GBM,MLM",5,1.0
